"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Pest Management",85,"2006-2","1","1","Crop Yields","Crop Damage","Corn lodging","lodged maize plants","NA","NA","%","LSD","mean",0,"2","NA",0,1,"2","NA",0,"ns","untreated_seedI","untreated","untreated maize planted in early June","clothianidin","clothianidin (1.25 mg ai per seed) seed treatment on maize planted in early June","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Crop Damage | Corn lodging","NA | NA"
"23","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,4,"NA","NA",47.5,"ns","untreated_foliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (.03 or 0.5 g ai/kg seed + 28.05 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,9.7,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"24","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,4,"NA","NA",30.04,"ns","untreated_foliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (.03 or 0.5 g ai/kg seed + 28.05 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,4.85,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"25","Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,3,"NA","NA",44,"ns","untreated_seedfoliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (0.5 or g ai/kg seed + 21.91 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Seed & Foliar",NA,NA,NA,NA,NA,NA,1.62,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"26","Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean pod mottle virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,3,"NA","NA",27.36,"ns","untreated_seedfoliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (0.5 or g ai/kg seed + 21.91 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Seed & Foliar",NA,NA,NA,NA,NA,NA,-4.5,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"27","Pest Management",93,"2002-2","1;2","3","Pests","Pathogens","Bean pod mottle virus","proportion of Bean pod mottle virus-infected soybean in early August","NA","NA","proportion of virus present in 20 samples per treatment","ANOVA","mean",0,"NA","NA",0.49,3,"NA","NA",0.4,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean treated with lambda-cyhalothrin (foliar application) at emergence of first bean leaf beetle generation","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-18.37,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"28","Pest Management",93,"2002-2","1;2","3","Pests","Pathogens","Bean pod mottle virus","proportion of Bean pod mottle virus-infected soybean in early August","NA","NA","proportion of virus present in 20 samples per treatment","ANOVA","mean",0,"NA","NA",0.49,2,"NA","NA",0.39,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean treated with lambda-cyhalothrin (foliar application) at soybean emergence","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-20.41,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"29","Pest Management",75,"2002-2","1;2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","LSMeans","mean",0,"NA","NA",367319,1,"NA","NA",346792,"ns","untreated_seedF","untreated","untreated maize seed","captan","fungicide seed treatment, captan (0.06 g ai / kg seed)","Fungicide","Seed",NA,NA,NA,NA,NA,NA,-5.59,"Crop Yields | Stand Count | Corn","NA | NA"
"30","Pest Management",75,"2002-2","1;2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","LSMeans","mean",0,"NA","NA",367319,4,"NA","NA",346477,"ns","untreated_seedF","untreated","untreated maize seed","captan; pentachloronitrobenzene; thiabendazole","captan (0.06 g ai / kg seed)/pentachloronitrobenzene (0.26 g / ai / kg seed)/thiabendazole (0.03 g ai / kg seed)","Fungicide","Seed",NA,NA,NA,NA,NA,NA,-5.67,"Crop Yields | Stand Count | Corn","NA | NA"
"31","Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11987.1,2,"NA","NA",13044.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,8.82,"Crop Yields | Stand Count | Corn","NA | NA"
"32","Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",503.7,2,"NA","NA",259.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-48.48,"Crop Yields | Stand Count | Corn","NA | NA"
"33","Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12075.1,2,"NA","NA",13529.4,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,12.04,"Crop Yields | Stand Count | Corn","NA | NA"
"34","Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",333.7,2,"NA","NA",340.4,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,2.01,"Crop Yields | Stand Count | Corn","NA | NA"
"35","Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12780.2,2,"NA","NA",11281.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-11.72,"Crop Yields | Stand Count | Corn","NA | NA"
"36","Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",50.9,2,"NA","NA",804.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,1480.75,"Crop Yields | Stand Count | Corn","NA | NA"
"37","Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12533.4,2,"NA","NA",13344.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,6.47,"Crop Yields | Stand Count | Corn","NA | NA"
"38","Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",202.3,2,"NA","NA",243.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,20.22,"Crop Yields | Stand Count | Corn","NA | NA"
"39","Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11458.1,2,"NA","NA",12317.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,7.5,"Crop Yields | Stand Count | Corn","NA | NA"
"40","Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",187,2,"NA","NA",782,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,318.18,"Crop Yields | Stand Count | Corn","NA | NA"
"41","Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",10841.1,2,"NA","NA",11193.7,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,3.25,"Crop Yields | Stand Count | Corn","NA | NA"
"42","Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",139.4,2,"NA","NA",107.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-22.6,"Crop Yields | Stand Count | Corn","NA | NA"
"43","Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11281.8,2,"NA","NA",11590.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,2.73,"Crop Yields | Stand Count | Corn","NA | NA"
"44","Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",160.9,2,"NA","NA",84.4,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-47.55,"Crop Yields | Stand Count | Corn","NA | NA"
"45","Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11546.3,2,"NA","NA",11546.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,0,"Crop Yields | Stand Count | Corn","NA | NA"
"46","Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",152.6,2,"NA","NA",233.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,52.82,"Crop Yields | Stand Count | Corn","NA | NA"
"47","Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11987.1,1,"NA","NA",11458.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-4.41,"Crop Yields | Stand Count | Corn","NA | NA"
"48","Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",503.7,1,"NA","NA",380.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-24.4,"Crop Yields | Stand Count | Corn","NA | NA"
"49","Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12075.1,1,"NA","NA",11281.8,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-6.57,"Crop Yields | Stand Count | Corn","NA | NA"
"50","Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",333.7,1,"NA","NA",589.1,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,76.54,"Crop Yields | Stand Count | Corn","NA | NA"
"51","Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12780.2,1,"NA","NA",11458.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,-10.34,"Crop Yields | Stand Count | Corn","NA | NA"
"52","Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",50.9,1,"NA","NA",374,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed",NA,NA,NA,NA,NA,NA,634.77,"Crop Yields | Stand Count | Corn","NA | NA"
"53","Pest Management",93,"2002-2","1;2","3","Pests","Pathogens","Bean pod mottle virus","proportion of Bean pod mottle virus-infected soybean in early August","NA","NA","proportion of virus present in 20 samples per treatment","ANOVA","mean",0,"NA","NA",0.49,4,"NA","NA",0.37,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean treated with two lambda-cyhalothrin foliar applications (once at soybean emergence and one at emergence of first bean leaf beetle generation)","Pyrethroid (Insecticide)","Foliar",NA,NA,NA,NA,NA,NA,-24.49,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
"54","Pest Management",93,"2002-2","1;2","3","Pests","Pathogens","Bean pod mottle virus","proportion of Bean pod mottle virus-infected soybean in early August","NA","NA","proportion of virus present in 20 samples per treatment","ANOVA","mean",0,"NA","NA",0.49,1,"NA","NA",0.17,"ns","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean treated with thiamethoxam (seed applied)","Neonicotinoid (Insecticide)","Seed",NA,NA,NA,NA,NA,NA,-65.31,"Pests | Pathogens | Bean pod mottle virus","NA | NA"
