"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","cc_group1","cc_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Cover Crops",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Soil Moisture","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3^  water/cm^3^ soil","repeated measure ANOVA","mean",0,"NA","NA",0.26,1,"NA","NA",0.252,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-3.08,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"28","Cover Crops",6,"1989-2","2","1","Pests","Weeds","Cocklebur","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"4","NA",71,1,"5","NA",84,"ns","0","mono_mono","winter rye","winter ryes to terminate weeds","winter rye","winter rye to terminate weeds","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,13,"Pests | Weeds | Cocklebur","Negative | assumed societal harm"
"29","Cover Crops",8,"2006-2","1;2","1","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",35,1,"NA","NA",39,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,11.43,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"30","Cover Crops",8,"2006-2","1;2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"3","NA",405,1,"3","NA",393,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-2.96,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"31","Cover Crops",8,"2006-2","1;2","1","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",44,1,"NA","NA",67,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,52.27,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"32","Cover Crops",8,"2006-2","1;2","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",383,1,"NA","NA",360,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-6.01,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"33","Cover Crops",8,"2006-2","1;2","1","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",44,2,"NA","NA",41,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-6.82,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"34","Cover Crops",8,"2006-2","1;2","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",383,2,"NA","NA",365,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-4.7,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"35","Cover Crops",8,"2006-2","1;2","1","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",26,1,"NA","NA",32,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,23.08,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"36","Cover Crops",8,"2006-2","2","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",129,1,"NA","NA",162,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,25.58,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"37","Cover Crops",8,"2006-2","1","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",40,1,"NA","NA",74,"0.05","-1","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,85,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"38","Cover Crops",8,"2006-2","1;2","1","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",26,2,"NA","NA",24,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-7.69,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"39","Cover Crops",8,"2006-2","1","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",40,2,"NA","NA",49,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,22.5,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"40","Cover Crops",8,"2006-2","2","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",129,2,"NA","NA",144,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,11.63,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"41","Cover Crops",8,"2006-2","1;2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"4","NA",327,1,"4","NA",302,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-7.65,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"42","Cover Crops",8,"2006-2","1;2","1","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",35,2,"NA","NA",26,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-25.71,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"43","Cover Crops",8,"2006-2","1;2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"3","NA",405,2,"3","NA",420,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,3.7,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"44","Cover Crops",8,"2006-2","1;2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",0,"4","NA",327,2,"4","NA",297,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-9.17,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"45","Cover Crops",8,"2006-2","1;2","1","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",22,1,"NA","NA",21,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-4.55,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"46","Cover Crops",8,"2006-2","2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",108,1,"NA","NA",129,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,19.44,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"47","Cover Crops",8,"2006-2","1","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",14,1,"NA","NA",26,"0.05","-1","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,85.71,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"48","Cover Crops",2,"2006-5","1;2;3;4;5","1","Water Quality","Drainage","Drainage","average drainage",NA,"NA","mm","Tukey","mean",0,"NA","NA",425,1,"NA","NA",396,"ns","0","mono","no cover crop","fallow, drainage","winter rye","winter rye cover crop, drainage","Single species","Non-legume","Positive","assumed societal benefit",NA,NA,NA,NA,-6.82,"Water Quality | Drainage | Drainage","Positive | assumed societal benefit"
"49","Cover Crops",2,"2006-5","1;2;3;4;5","1","Water Quality","Drainage","Drainage","average drainage",NA,"NA","mm","Tukey","mean",0,"NA","NA",425,2,"NA","NA",330,"ns","0","mono","no cover crop","fallow, drainage","oat","oat cover crop, drainage","Single species","Non-legume","Positive","assumed societal benefit",NA,NA,NA,NA,-22.35,"Water Quality | Drainage | Drainage","Positive | assumed societal benefit"
"50","Cover Crops",8,"2006-2","1;2","1","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",22,2,"NA","NA",19,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-13.64,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"51","Cover Crops",8,"2006-2","2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",108,2,"NA","NA",110,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,1.85,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"52","Cover Crops",8,"2006-2","1","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2^","contrasts","mean",0,"NA","NA",14,2,"NA","NA",29,"0.05","-1","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,107.14,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"53","Cover Crops",8,"2006-2","1","2","Pests","Nematodes","Soybean Cyst Nematode","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2^","contrasts","mean",1,"NA","NA",74,2,"NA","NA",49,"0.05","NA","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-33.78,"Pests | Nematodes | Soybean Cyst Nematode","Negative | assumed societal harm"
"54","Cover Crops",8,"2006-2","1;2","1","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",1,"NA","NA",39,2,"NA","NA",26,"ns","0","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-33.33,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"55","Cover Crops",8,"2006-2","1;2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",1,"3","NA",393,2,"3","NA",420,"ns","0","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,6.87,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
"56","Cover Crops",8,"2006-2","1;2","2","Pests","Weeds","Dead Nettle","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2^","contrasts","mean",1,"4","NA",302,2,"4","NA",297,"ns","0","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-1.66,"Pests | Weeds | Dead Nettle","Negative | assumed societal harm"
