"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"18","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",503.7,1,"NA","NA",380.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-24.4,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"19","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12075.1,1,"NA","NA",11281.8,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-6.57,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"20","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",333.7,1,"NA","NA",589.1,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,76.54,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"21","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12780.2,1,"NA","NA",11458.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-10.34,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"22","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",50.9,1,"NA","NA",374,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,634.77,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"23","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12533.4,1,"NA","NA",13044.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,4.08,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"24","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",202.3,1,"NA","NA",149.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-26.05,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"25","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11458.1,1,"NA","NA",10929.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-4.62,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"26","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",187,1,"NA","NA",764.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,308.66,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"27","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",10841.1,1,"NA","NA",11259.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,3.86,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"28","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",139.4,1,"NA","NA",184.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,32.57,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"29","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11281.8,1,"NA","NA",11942.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,5.86,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"30","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",160.9,1,"NA","NA",220.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,36.92,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"31","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11546.3,1,"NA","NA",11898.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,3.05,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"32","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",152.6,1,"NA","NA",209.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,37.48,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"33","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",7932.7,2,"NA","NA",7925.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-0.09,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"34","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",308,2,"NA","NA",633.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,105.62,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"35","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",12199.1,2,"NA","NA",11790.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-3.35,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"36","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",519.1,2,"NA","NA",277,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-46.64,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"37","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",7097.1,2,"NA","NA",7770.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,9.49,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"38","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",347.3,2,"NA","NA",328.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-5.38,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"39","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",11556.6,2,"NA","NA",12451.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,7.74,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"40","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",381.3,2,"NA","NA",839.7,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,120.22,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"41","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",12151.9,2,"NA","NA",12693.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,4.46,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"42","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",234.5,2,"NA","NA",251,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,7.04,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"43","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",14665.1,2,"NA","NA",14903.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,1.63,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"44","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",538.7,2,"NA","NA",203.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-62.21,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"45","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",14072.3,2,"NA","NA",14559.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,3.46,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"46","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",352.4,2,"NA","NA",594.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,68.73,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"47","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",14010.1,2,"NA","NA",14106.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,0.69,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"48","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",245.2,2,"NA","NA",350.4,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,42.9,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"49","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",7932.7,1,"NA","NA",7830.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-1.29,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"50","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",308,1,"NA","NA",327.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,6.23,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"51","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",12199.1,1,"NA","NA",11578.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-5.09,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"52","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",519.1,1,"NA","NA",136.4,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-73.72,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"53","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",7097.1,1,"NA","NA",7832.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,10.37,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"54","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",347.3,1,"NA","NA",447.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,28.76,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"55","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",11556.6,1,"NA","NA",11349,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-1.8,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"56","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",381.3,1,"NA","NA",824.7,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,116.29,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"57","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",12151.9,1,"NA","NA",12153.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,0.02,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"58","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","sem",0,"NA","NA",234.5,1,"NA","NA",159.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-31.98,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"59","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Grain Yields","Corn","maize yield","NA","NA","kg/ha","F-test","mean",0,"NA","NA",14665.1,1,"NA","NA",14390.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-1.87,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
