"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_trtspecifics","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","nutrient_groups","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Nutrient Management",3000,"2011-3","1;2;3","1","Crop Yields","Grain Quality","Corn Grain Weight & Moisture Content","maize grain moisture","168 kg N/ha","NA","NA","g/kg","LSD","mean","0","NA","NA",191,"1","NA","NA",196,"ns","0","timing_fall_preplant","Fall","fall applied, 168 kg N/ha","Spring","spring applied, 168 kg N/ha","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,2.62,"Crop Yields | Grain Quality | Corn Grain Weight & Moisture Content","Positive | assumed societal benefit"
"12","Nutrient Management",120,"2008-2","2","3","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","Mg/kg","LSD","mean","0","3","NA",15.31,"1","3","NA",15.37,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0.39,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"13","Nutrient Management",120,"2008-2","2","2","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","kg/ha","LSD","mean","0","3","NA",182,"1","3","NA",174,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-4.4,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"14","Nutrient Management",120,"2008-2","2","3","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","kg/ha","LSD","mean","0","2","NA",192,"1","2","NA",198,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,3.12,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"15","Nutrient Management",120,"2008-2","2","3","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","kg/ha","LSD","mean","0","3","NA",192,"1","3","NA",197,"ns","0","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,2.6,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"16","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen concentration","NA","NA","NA","g N/kg","LSM","mean","0","NA","NA",11.9,"1","NA","NA",11.5,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.20 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-3.36,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"17","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen concentration","NA","NA","NA","g N/kg","LSM","sem","0","NA","NA",0.4,"1","NA","NA",0.2,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.20 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-50,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"18","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen concentration","NA","NA","NA","g N/kg","LSM","mean","0","NA","NA",11.9,"2","NA","NA",12.5,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.10 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,5.04,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"19","Nutrient Management",120,"2008-2","2","2;3","Soil Nutrients","Nitrate","Late Season","soil nitrate","NA","0-120 cm","0-60 cm","kg/ha","LSD","mean","0","2","NA",32,"1","2","NA",53,"<0.0001","1","broad_band","Broadcast","broadcasted fertilizer (UAN mixed with Nitamin-Nfusion)","Banded","banned fertilizer (UAN mixed with Nitamin-Nfusion)","Fertilizer Placement","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,65.62,"Soil Nutrients | Nitrate | Late Season","Dependent on other factors | dependent on other factors"
"20","Nutrient Management",120,"2008-2","2","2;3","Soil Nutrients","Nitrate","Late Season","soil nitrate","NA","0-120 cm","0-60 cm","kg/ha","LSD","mean","0","3","NA",31,"1","3","NA",52,"<0.0001","1","broad_band","Broadcast","broadcasted fertilizer (UAN)","Banded","banned fertilizer (UAN)","Fertilizer Placement","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,67.74,"Soil Nutrients | Nitrate | Late Season","Dependent on other factors | dependent on other factors"
"21","Nutrient Management",121,"2012-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",104,"1","NA","NA",96,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-7.69,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"22","Nutrient Management",121,"2012-2","1","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",104,"2","NA","NA",99,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-4.81,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"23","Nutrient Management",121,"2012-2","1","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",141,"1","NA","NA",143,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,1.42,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"24","Nutrient Management",121,"2012-2","1","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",141,"2","NA","NA",144,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,2.13,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"25","Nutrient Management",121,"2012-2","1","3","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",159,"1","NA","NA",177,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,11.32,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"26","Nutrient Management",121,"2012-2","1","3","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",159,"2","NA","NA",171,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,7.55,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"27","Nutrient Management",121,"2012-2","1","4","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",149,"1","NA","NA",160,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,7.38,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"28","Nutrient Management",121,"2012-2","1","4","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",149,"2","NA","NA",171,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,14.77,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"29","Nutrient Management",121,"2012-2","1","5","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",113,"1","NA","NA",105,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-7.08,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"30","Nutrient Management",121,"2012-2","1","5","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",105,"2","NA","NA",113,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,7.62,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"31","Nutrient Management",121,"2012-2","1","6","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",72,"1","NA","NA",96,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,33.33,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"32","Nutrient Management",121,"2012-2","1","6","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",72,"2","NA","NA",85,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,18.06,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"33","Nutrient Management",121,"2012-2","2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",182,"1","NA","NA",166,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-8.79,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"34","Nutrient Management",121,"2012-2","2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",182,"2","NA","NA",172,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-5.49,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"35","Nutrient Management",121,"2012-2","2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",88,"1","NA","NA",83,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-5.68,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"36","Nutrient Management",121,"2012-2","2","1","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",88,"2","NA","NA",88,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"37","Nutrient Management",121,"2012-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",197,"1","NA","NA",187,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-5.08,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"38","Nutrient Management",121,"2012-2","2","2","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",197,"2","NA","NA",196,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-0.51,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"39","Nutrient Management",121,"2012-2","2","3","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",211,"1","NA","NA",224,"5.0000000000000001E-3",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,6.16,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"40","Nutrient Management",121,"2012-2","2","3","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",211,"2","NA","NA",236,"5.0000000000000001E-3",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,11.85,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"41","Nutrient Management",121,"2012-2","2","4","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",143,"1","NA","NA",140,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-2.1,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"42","Nutrient Management",121,"2012-2","2","4","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",143,"2","NA","NA",132,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-7.69,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"43","Nutrient Management",121,"2012-2","2","5","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",165,"1","NA","NA",174,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate split application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,5.45,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"44","Nutrient Management",121,"2012-2","2","5","Crop Yields","Grain Yields","Corn","maize grain yield","NA","NA","NA","bu/ac","NA","mean","0","NA","NA",165,"2","NA","NA",175,"ns",NA,"uniform_variable","Broadcast","spring applied fertilizer with variable rate at V10","Variable Rate Application","variable rate rescue application strategy","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,6.06,"Crop Yields | Grain Yields | Corn","Positive | assumed societal benefit"
"45","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen concentration","NA","NA","NA","g N/kg","LSM","sem","0","NA","NA",0.4,"2","NA","NA",0.3,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.10 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-25,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"46","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen yield","NA","NA","NA","kg N/kg","LSM","mean","0","NA","NA",127,"1","NA","NA",120,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.20 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,-5.51,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"47","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen yield","NA","NA","NA","kg N/kg","LSM","sem","0","NA","NA",6,"1","NA","NA",6,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.20 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,0,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"48","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen yield","NA","NA","NA","kg N/kg","LSM","mean","0","NA","NA",127,"2","NA","NA",136,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.10 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,7.09,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"49","Nutrient Management",125,"2009-2","1;2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen yield","NA","NA","NA","kg N/kg","LSM","sem","0","NA","NA",6,"2","NA","NA",7,"ns","0","surface_knife","Broadcast","surface-broadcast urea that was incoporated to 0.10 m using a field cultivator on the day of application","Banded","knife-injected anhydrous ammonia with a target depth of 0.10 m","Fertilizer Placement","Positive","assumed societal benefit",NA,NA,NA,NA,16.67,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"50","Nutrient Management",138,"1986-2","1","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen content","NA","NA","NA","%","ANOVA","mean","0","NA","NA",1.25,"1","NA","NA",1.28,"ns","0","preplant_V6","Preplant","25-175 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25-175 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,0.03,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"51","Nutrient Management",138,"1986-2","1","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","lb/acre","ANOVA","mean","0","NA","NA",76.1,"1","NA","NA",84,"0.05","1","preplant_V6","Preplant","25-175 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25-175 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,10.38,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"52","Nutrient Management",138,"1986-2","1","2","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen content","NA","NA","NA","%","ANOVA","mean","0","NA","NA",1.09,"1","NA","NA",1.11,"ns","0","preplant_V6","Preplant","25-175 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25-175 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,0.02,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"53","Nutrient Management",138,"1986-2","1","2","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen uptake","NA","NA","NA","lb/acre","ANOVA","mean","0","NA","NA",80,"1","NA","NA",82,"ns","0","preplant_V6","Preplant","25-175 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25-175 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,2.5,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
"54","Nutrient Management",138,"1986-2","2","1","Crop Yields","Grain Quality","Corn Grain Nitrogen Content","maize grain nitrogen content","NA","NA","NA","%","ANOVA","mean","0","NA","NA",1.3,"1","NA","NA",1.34,"ns","0","preplant_V6","Preplant","25 lb/acre preplant and 0 lb/acre sidedress at V6 growth stage","Early Season","0 lb/acre preplant and 25 lb/acre sidedress at V6 growth stage","Application Timing","Positive","assumed societal benefit",NA,NA,NA,NA,0.04,"Crop Yields | Grain Quality | Corn Grain Nitrogen Content","Positive | assumed societal benefit"
