"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","effect_norm","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","cc_group1","cc_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Cover crop",23,"2012-1","1","1","Other Soil Properties","Abiotic Factors","Soil moisture","soil water content at cash crop emergence, 10 cm depth","10 cm","0-30 cm","cm^3  water/cm^3 soil","repeated measure ANOVA","mean",0,"NA","NA",0.26,1,"NA","NA",0.252,"ns","0","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,-3.08,"Other Soil Properties | Abiotic Factors | Soil moisture","Dependent on other factors | dependent on other factors"
"12","Cover crop",23,"2012-1","1","3","Other Soil Properties","Abiotic Factors","Soil moisture","soil water content before planting of cash crop, 20 cm depth","20 cm","0-30 cm","cm^3  water/cm^3 soil","repeated measure ANOVA","mean",0,"NA","NA",0.282,1,"NA","NA",0.295,"0.03","1","mono","no cover crop","no cover crop","winter rye","rye winter cover crop","Single species","Non-legume","Dependent on other factors","dependent on other factors",NA,NA,NA,NA,4.61,"Other Soil Properties | Abiotic Factors | Soil moisture","Dependent on other factors | dependent on other factors"
"13","Cover crop",1,"2001-8","2;4;6;8","1","Crop Yields","Grain Production","Soybean","soybean grain yield",NA,"NA","Mg/ha","LSD","mean",0,"2","NA",2.71,1,"2","NA",2.77,"ns","0","mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,2.21,"Crop Yields | Grain Production | Soybean","Positive | assumed societal benefit"
"14","Cover crop",1,"2001-8","2;4;6;8","1","Crop Yields","Grain Production","Soybean","soybean grain yield",NA,"NA","Mg/ha","LSD","mean",0,"3","NA",2.76,1,"3","NA",2.51,"ns","0","mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-9.06,"Crop Yields | Grain Production | Soybean","Positive | assumed societal benefit"
"15","Cover crop",1,"2001-8","2;4;6;8","1","Crop Yields","Grain Production","Soybean","soybean grain yield",NA,"NA","Mg/ha","LSD","mean",0,"4","NA",2.79,1,"4","NA",2.74,"ns","0","mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-1.79,"Crop Yields | Grain Production | Soybean","Positive | assumed societal benefit"
"16","Cover crop",1,"2001-8","1;3;5;7","1","Crop Yields","Grain Production","Corn","maize grain yield",NA,"NA","Mg/ha","LSD","mean",0,"2","NA",10,1,"2","NA",10.3,"ns","0","mono","no cover crop","no winter cover crop, moldboard plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, moldboard plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,3,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"17","Cover crop",1,"2001-8","1;3;5;7","1","Crop Yields","Grain Production","Corn","maize grain yield",NA,"NA","Mg/ha","LSD","mean",0,"3","NA",9.85,1,"3","NA",9.54,"ns","0","mono","no cover crop","no winter cover crop, chisel plow applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, chisel plow applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-3.15,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"18","Cover crop",1,"2001-8","1;3;5;7","1","Crop Yields","Grain Production","Corn","maize grain yield",NA,"NA","Mg/ha","LSD","mean",0,"4","NA",9.41,1,"4","NA",9.1,"ns","0","mono","no cover crop","no winter cover crop, no-tillage applied preceeding cash crop","winter rye (corn), hairy vetch (soybean)","maize: cereal rye / soybean: hairy vetch, no-tillage applied preceeding cash crop","Single species","Rotation of Cover Crops","Positive","assumed societal benefit",NA,NA,NA,NA,-3.29,"Crop Yields | Grain Production | Corn","Positive | assumed societal benefit"
"19","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"3","NA",83,2,"3","NA",53,"0.05","-1","mono","no cover crop","soybean stubble (no cover crop), tillage to kill weeds","hairy vetch","hairy vetch cover crop, tillage to terminate cover crop","Single species","Legume","Negative","assumed societal harm",NA,NA,NA,NA,-30,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"20","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"3","NA",83,1,"3","NA",73,"ns","0","mono","no cover crop","soybean stubble (no cover crop), tillage to kill weeds","winter rye","winter rye cover crop, tillage to terminate cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-10,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"21","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"5","NA",41,1,"5","NA",84,"0.05","1","mono","no cover crop","soybean stubble (no cover crop), mowing to kill weeds","winter rye","winter rye cover crop, mowing to terminate cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,43,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"22","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",0,"5","NA",41,2,"5","NA",68,"0.05","1","mono","no cover crop","soybean stubble (no cover crop), mowing to kill weeds","hairy vetch","hairy vetch cover crop, mowing to terminate cover crop","Single species","Legume","Negative","assumed societal harm",NA,NA,NA,NA,27,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"23","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"5","NA",84,2,"5","NA",68,"0.05","NA","mono_mono","winter rye","winter rye cover crop, mowing to terminate cover crop","hairy vetch","hairy vetch cover crop, mowing to terminate cover crop","Mixture comparisons","Legume","Negative","assumed societal harm",NA,NA,NA,NA,-16,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"24","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"4","NA",71,2,"4","NA",68,"ns","0","mono_mono","winter rye","winter rye cover crop, herbicide sprayed on cover crop","winter rye","hairy vetch cover crop, herbicide sprayed on cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-3,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"25","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"3","NA",73,2,"3","NA",53,"ns","0","mono_mono","winter rye","winter rye cover crop, tillage to terminate cover crop","hairy vetch","hairy vetch cover crop, tillage to terminate cover crop","Mixture comparisons","Legume","Negative","assumed societal harm",NA,NA,NA,NA,-20,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"26","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"3","NA",73,1,"4","NA",71,"ns","0","mono_mono","winter rye","winter rye to terminate weeds","winter rye","winter ryes to terminate weeds","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-2,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"27","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"3","NA",73,1,"5","NA",84,"ns","0","mono_mono","winter rye","winter rye to terminate weeds","winter rye","winter rye to terminate weeds","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,11,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"28","Cover crop",6,"1989-2","2","1","Pests","Weeds","Cocklebur (#)","control of common cocklebur (weeds)",NA,"NA","%","LSD","mean",1,"4","NA",71,1,"5","NA",84,"ns","0","mono_mono","winter rye","winter ryes to terminate weeds","winter rye","winter rye to terminate weeds","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,13,"Pests | Weeds | Cocklebur (#)","Negative | assumed societal harm"
"29","Cover crop",8,"2006-2","1;2","1","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",35,1,"NA","NA",39,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,11.43,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"30","Cover crop",8,"2006-2","1;2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"3","NA",405,1,"3","NA",393,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-2.96,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"31","Cover crop",8,"2006-2","1;2","1","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",44,1,"NA","NA",67,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,52.27,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"32","Cover crop",8,"2006-2","1;2","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",383,1,"NA","NA",360,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-6.01,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"33","Cover crop",8,"2006-2","1;2","1","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",44,2,"NA","NA",41,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-6.82,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"34","Cover crop",8,"2006-2","1;2","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",383,2,"NA","NA",365,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-4.7,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"35","Cover crop",8,"2006-2","1;2","1","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",26,1,"NA","NA",32,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,23.08,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"36","Cover crop",8,"2006-2","2","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",129,1,"NA","NA",162,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,25.58,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"37","Cover crop",8,"2006-2","1","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",40,1,"NA","NA",74,"0.05","-1","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,85,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"38","Cover crop",8,"2006-2","1;2","1","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",26,2,"NA","NA",24,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-7.69,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"39","Cover crop",8,"2006-2","1","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",40,2,"NA","NA",49,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,22.5,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"40","Cover crop",8,"2006-2","2","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",129,2,"NA","NA",144,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,11.63,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"41","Cover crop",8,"2006-2","1;2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"4","NA",327,1,"4","NA",302,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-7.65,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"42","Cover crop",8,"2006-2","1;2","1","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",35,2,"NA","NA",26,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-25.71,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"43","Cover crop",8,"2006-2","1;2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"3","NA",405,2,"3","NA",420,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,3.7,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"44","Cover crop",8,"2006-2","1;2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",0,"4","NA",327,2,"4","NA",297,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-9.17,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"45","Cover crop",8,"2006-2","1;2","1","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",22,1,"NA","NA",21,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-4.55,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"46","Cover crop",8,"2006-2","2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",108,1,"NA","NA",129,"ns","0","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,19.44,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"47","Cover crop",8,"2006-2","1","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",14,1,"NA","NA",26,"0.05","-1","mono","no cover crop","no winter cover crop","Italian ryegrass","Italian ryegrass cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,85.71,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"48","Cover crop",2,"2006-5","1;2;3;4;5","1","Water Quality","Drainage","Drainage","average drainage",NA,"NA","mm","Tukey","mean",0,"NA","NA",425,1,"NA","NA",396,"ns","0","mono","no cover crop","fallow, drainage","winter rye","winter rye cover crop, drainage","Single species","Non-legume","Positive","assumed societal benefit",NA,NA,NA,NA,-6.82,"Water Quality | Drainage | Drainage","Positive | assumed societal benefit"
"49","Cover crop",2,"2006-5","1;2;3;4;5","1","Water Quality","Drainage","Drainage","average drainage",NA,"NA","mm","Tukey","mean",0,"NA","NA",425,2,"NA","NA",330,"ns","0","mono","no cover crop","fallow, drainage","oat","oat cover crop, drainage","Single species","Non-legume","Positive","assumed societal benefit",NA,NA,NA,NA,-22.35,"Water Quality | Drainage | Drainage","Positive | assumed societal benefit"
"50","Cover crop",8,"2006-2","1;2","1","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",22,2,"NA","NA",19,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-13.64,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"51","Cover crop",8,"2006-2","2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",108,2,"NA","NA",110,"ns","0","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,1.85,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"52","Cover crop",8,"2006-2","1","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) in spring",NA,"NA","#/m^2","contrasts","mean",0,"NA","NA",14,2,"NA","NA",29,"0.05","-1","mono","no cover crop","no winter cover crop","winter wheat","winter wheat cover crop","Single species","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,107.14,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"53","Cover crop",8,"2006-2","1","2","Pests","Nematodes","Soybean cyst nematode (#)","density of soybean cyst nematode eggs in spring",NA,"NA","#/m^2","contrasts","mean",1,"NA","NA",74,2,"NA","NA",49,"0.05","NA","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-33.78,"Pests | Nematodes | Soybean cyst nematode (#)","Negative | assumed societal harm"
"54","Cover crop",8,"2006-2","1;2","1","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",1,"NA","NA",39,2,"NA","NA",26,"ns","0","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-33.33,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"55","Cover crop",8,"2006-2","1;2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",1,"3","NA",393,2,"3","NA",420,"ns","0","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,6.87,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
"56","Cover crop",8,"2006-2","1;2","2","Pests","Weeds","Dead nettle (#)","density of Lamim spp. (Henbit and purple deadnettle) after 5 years",NA,"NA","#/m^2","contrasts","mean",1,"4","NA",302,2,"4","NA",297,"ns","0","mono_mono","Italian ryegrass","Italian ryegrass cover crop","winter wheat","winter wheat cover crop","Mixture comparisons","Non-legume","Negative","assumed societal harm",NA,NA,NA,NA,-1.66,"Pests | Weeds | Dead nettle (#)","Negative | assumed societal harm"
