"","group_level1","group_level2","group_level3"
"65","Soil Nutrients","Phosphorus & Potassium","Potassium losses"
"66","Water Quality","Nutrient Runoff","Phosphorus"
"67","Water Quality","Nutrient Runoff","Potassium"
"68","Other Soil Properties","Physical Properties","Water infiltration"
"69","Pests","Non-Predators & Pests","Earthworms"
"70","Crop Yields","Crop Growth","Plant height"
"71","Other Soil Properties","Abiotic Factors","Light intensity"
"72","Crop Yields","Yields","French bean"
"73","Crop Yields","Plant Nutrient Content","C to N ratio"
"74","Other Soil Properties","Soil Structure","Agreegate size"
"75","Other Soil Properties","Biotic Factors","Microbial biomass"
"76","Other Soil Properties","Biotic Factors","Enzyme activity"
"77","Other Soil Properties","Biotic Factors","Respiration"
"78","Pests","Non-Predators & Pests","Community diversity"
"79","Pests","Non-Predators & Pests","Community"
"80","Pests","Non-Predators & Pests","Invertebrates"
"81","Pests","Invertebrate Pests","Root herbivores"
"82","Other Soil Properties","Chemical Properties","pH"
"83","Soil Nutrients","Micronutrients","Misc. Micronutrients"
"84","Water Quality","Nutrient Runoff","C to N ratio"
"85","Crop Yields","Crop Growth","Development"
"86","Pests","Weeds","Grasses"
"87","Pests","Weeds","Broadleaves"
"88","Pests","Weeds","Weed community diversity"
"89","Soil Nutrients","Nitrogen","C to N ratio"
"90","Soil Nutrients","Micronutrients","Magnesium"
"91","Soil Nutrients","Micronutrients","Calcium"
"92","Other Soil Properties","Physical Properties","Soil bulk density"
"93","Pests","Invertebrate Pests","Caterpillars"
"94","Pests","Pest Natural Enemies","Natural enemy activity"
"95","Pests","Birds","Grainivores"
"96","Pests","Birds","Fruitivores"
"97","Crop Yields","Water Use","Crop"
"98","Economics","Income","Gross return"
"99","Economics","Costs","Labour cost"
"100","Economics","Income","Net return"
"101","Economics","Costs","Variable cost"
"102","Economics","Costs","Total cost"
"103","Climate Mitigation","Nitrogen Emissions","Annual nitrous oxide emissions"
"104","Pests","Nematodes","Bacterivores"
"105","Pests","Nematodes","Fungivores"
"106","Pests","Nematodes","Omnivores"
"107","Pests","Nematodes","Predators"
"108","Climate Mitigation","Carbon Emissions","Methane"
"109","Climate Mitigation","Carbon Emissions","Carbon dioxide"
"110","Crop Yields","Crop Growth","Crop chlorophyll content"
"111","Crop Yields","Plant Nutrient Content","Nitrogen content"
"112","Crop Yields","Crop Biomass","Aboveground biomass"
"113","Crop Yields","Plant Nutrient Content","Crop phosphorus content"
"114","Crop Yields","Plant Nutrient Content","Crop potassium content"
"115","Crop Yields","Plant Nutrient Content","Crop nitrogen use efficiency"
"116","Soil Nutrients","Nitrogen","Nitrate"
"117","Soil Nutrients","Nitrogen","Ammonium"
"118","Climate Mitigation","Nitrogen Emissions","Growing season nitrous oxide"
"119","Climate Mitigation","Carbon Emissions","Total greenhouse gas emissions"
"120","Other Soil Properties","Biotic Factors","Carbon decomposition rate of buried residues"
"121","Other Soil Properties","Biotic Factors","Nitrogen decomposition rate of buried residues"
"122","Other Soil Properties","Biotic Factors","Phosphorus decomposition rate of buried residues"
"123","Other Soil Properties","Soil Structure","Aggregate size"
"124","Other Soil Properties","Soil Structure","Aggregate stability"
"125","Water Quality","Flow Quantity","Drainage"
"126","Crop Yields","Plant Nutrient Content","Grain selenium content"
"127","Pests","Crop Damage","Damage from termites"
"128","Crop Yields","Stand Count","Crop"
"129","Climate Mitigation","Storage","Soil organic carbon"
"130","Crop Yields","Yields","African nightshade vegetable"
"131","Soil Nutrients","Micronutrients","Misc. micronutrients"
"132","Climate Mitigation","Nitrogen Emissions","Nitric oxide"
"133","Water Quality","Nutrient Runoff","Nitrate"
"134","Economics","Economic Performance","Benefit cost ratio (GRVC)"
"135","Economics","Economic Performance","Benefit cost ratio (NRTC)"
"136","Economics","Income","Gross margin"
"137","Other Soil Properties","Chemical Properties","Labile carbon"
"138","Other Soil Properties","Chemical Properties","Soil organic carbon"
"139","Other Soil Properties","Biotic Factors","Microbial diversity"
"140","Other Soil Properties","Chemical Properties","Particulate carbon"
"141","Other Soil Properties","Chemical Properties","Mineral-associated carbon"
"142","Crop Yields","Plant Nutrient Content","Crop phosphorus use efficiency"
"143","Crop Yields","Plant Nutrient Content","Fat content"
"144","Other Soil Properties","Physical Properties","Clay content"
"145","Crop Yields","Yields","Tea"
"146","Other Soil Properties","Chemical Properties","Cation exchange capacity"
"147","Other Soil Properties","Biotic Factors","Mycorrhizal root colonization"
"148","Crop Yields","Crop Growth","Nodule count"
"149","Crop Yields","Crop Quality","Grain weight & moisture content"
"150","Other Soil Properties","Abiotic Factors","Evapotranspiration"
"151","Crop Yields","Water Use","Maize"
"152","Pests","Invertebrate Pests","Termites"
"153","Water Quality","Nutrient Runoff","Carbon"
"154","Crop Yields","Yields","Aboveground biomass"
"155","Economics","Income","Net income"
"156","Other Soil Properties","Physical Properties","Pore space"
