,Review,group_level1,group_level2,group_level3,norm_interp2,norm_interp3,group_level1_alt,group_level2_alt,norm_interp2_alt,norm_interp3_alt
25,Tillage,Crop Yields,Cover Crop,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
484,Nutrient Amendment,Crop Yields,Cover Crop,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
26,Continuous Cover,Crop Yields,Cover Crop,Carbon Content,Positive,assumed societal benefit,NA,NA,NA,NA
27,Tillage,Crop Yields,Cover Crop,Carbon Content,Positive,assumed societal benefit,NA,NA,NA,NA
485,Nutrient Amendment,Crop Yields,Cover Crop,Carbon Content,Positive,assumed societal benefit,NA,NA,NA,NA
28,Continuous Cover,Crop Yields,Cover Crop,Height,Positive,assumed societal benefit,NA,NA,NA,NA
29,Tillage,Crop Yields,Cover Crop,Height,Positive,assumed societal benefit,NA,NA,NA,NA
486,Nutrient Amendment,Crop Yields,Cover Crop,Height,Positive,assumed societal benefit,NA,NA,NA,NA
30,Continuous Cover,Crop Yields,Cover Crop,Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
31,Tillage,Crop Yields,Cover Crop,Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
487,Nutrient Amendment,Crop Yields,Cover Crop,Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
32,Continuous Cover,Crop Yields,Crop Damage,Corn Lodging,Negative,assumed societal harm,NA,NA,NA,NA
488,Nutrient Amendment,Crop Yields,Crop Damage,Corn Lodging,Negative,assumed societal harm,NA,NA,NA,NA
33,Continuous Cover,Crop Yields,Crop Damage,Corn Stand Count Damage,Negative,assumed societal harm,NA,NA,NA,NA
34,Tillage,Crop Yields,Crop Damage,Corn Stand Count Damage,Negative,assumed societal harm,NA,NA,NA,NA
489,Nutrient Amendment,Crop Yields,Crop Damage,Corn Stand Count Damage,Negative,assumed societal harm,NA,NA,NA,NA
35,Continuous Cover,Crop Yields,Crop Damage,Crop Damaged By Invertebrates,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
36,Tillage,Crop Yields,Crop Damage,Crop Damaged By Invertebrates,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
490,Nutrient Amendment,Crop Yields,Crop Damage,Crop Damaged By Invertebrates,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
37,Continuous Cover,Crop Yields,Crop Damage,French Bean Yield Loss Due To Pests,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
491,Nutrient Amendment,Crop Yields,Crop Damage,French Bean Yield Loss Due To Pests,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
38,Continuous Cover,Crop Yields,Crop Damage,Soybean Lodging,Negative,assumed societal harm,NA,NA,NA,NA
492,Nutrient Amendment,Crop Yields,Crop Damage,Soybean Lodging,Negative,assumed societal harm,NA,NA,NA,NA
39,Continuous Cover,Crop Yields,Crop Damage,Yield Loss Due To Pests,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
493,Nutrient Amendment,Crop Yields,Crop Damage,Yield Loss Due To Pests,Negative,assumed societal harm,Pests,Invertebrate Pests,Negative,assumed societal harm
40,Continuous Cover,Crop Yields,Crop Growth,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
41,Tillage,Crop Yields,Crop Growth,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
449,Nutrient Amendment,Crop Yields,Crop Growth,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
42,Continuous Cover,Crop Yields,Crop Growth,Corn Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
43,Tillage,Crop Yields,Crop Growth,Corn Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
494,Nutrient Amendment,Crop Yields,Crop Growth,Corn Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
44,Continuous Cover,Crop Yields,Crop Growth,Corn And Soybean Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
45,Tillage,Crop Yields,Crop Growth,Corn And Soybean Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
495,Nutrient Amendment,Crop Yields,Crop Growth,Corn And Soybean Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
46,Continuous Cover,Crop Yields,Crop Growth,Corn And Soybean Tissue (Biomass),Positive,assumed societal benefit,NA,NA,NA,NA
47,Tillage,Crop Yields,Crop Growth,Corn And Soybean Tissue (Biomass),Positive,assumed societal benefit,NA,NA,NA,NA
496,Nutrient Amendment,Crop Yields,Crop Growth,Corn And Soybean Tissue (Biomass),Positive,assumed societal benefit,NA,NA,NA,NA
48,Continuous Cover,Crop Yields,Crop Growth,Corn Height,Positive,assumed societal benefit,NA,NA,NA,NA
49,Tillage,Crop Yields,Crop Growth,Corn Height,Positive,assumed societal benefit,NA,NA,NA,NA
497,Nutrient Amendment,Crop Yields,Crop Growth,Corn Height,Positive,assumed societal benefit,NA,NA,NA,NA
50,Continuous Cover,Crop Yields,Crop Growth,Corn Reduction In Vigor,Positive,assumed societal harm,NA,NA,NA,NA
498,Nutrient Amendment,Crop Yields,Crop Growth,Corn Reduction In Vigor,Positive,assumed societal harm,NA,NA,NA,NA
51,Continuous Cover,Crop Yields,Crop Growth,Corn Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
52,Tillage,Crop Yields,Crop Growth,Corn Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
499,Nutrient Amendment,Crop Yields,Crop Growth,Corn Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
53,Continuous Cover,Crop Yields,Crop Growth,Corn Sap Flow,Positive,assumed societal benefit,NA,NA,NA,NA
500,Nutrient Amendment,Crop Yields,Crop Growth,Corn Sap Flow,Positive,assumed societal benefit,NA,NA,NA,NA
54,Continuous Cover,Crop Yields,Crop Growth,Corn Stalk Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
501,Nutrient Amendment,Crop Yields,Crop Growth,Corn Stalk Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
55,Continuous Cover,Crop Yields,Crop Growth,Corn Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
56,Tillage,Crop Yields,Crop Growth,Corn Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
502,Nutrient Amendment,Crop Yields,Crop Growth,Corn Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
57,Continuous Cover,Crop Yields,Crop Growth,Corn Stover Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
58,Tillage,Crop Yields,Crop Growth,Corn Stover Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
503,Nutrient Amendment,Crop Yields,Crop Growth,Corn Stover Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
59,Continuous Cover,Crop Yields,Crop Growth,Crop Chlorophyll Content,Positive,assumed societal benefit,NA,NA,NA,NA
60,Tillage,Crop Yields,Crop Growth,Crop Chlorophyll Content,Positive,assumed societal benefit,NA,NA,NA,NA
443,Nutrient Amendment,Crop Yields,Crop Growth,Crop Chlorophyll Content,Positive,assumed societal benefit,NA,NA,NA,NA
438,Nutrient Amendment,Crop Yields,Crop Growth,Maize Stalk Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
61,Continuous Cover,Crop Yields,Crop Growth,Plant Height,Positive,assumed societal benefit,NA,NA,NA,NA
62,Tillage,Crop Yields,Crop Growth,Plant Height,Positive,assumed societal benefit,NA,NA,NA,NA
442,Nutrient Amendment,Crop Yields,Crop Growth,Plant Height,Positive,assumed societal benefit,NA,NA,NA,NA
63,Continuous Cover,Crop Yields,Crop Growth,Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
457,Nutrient Amendment,Crop Yields,Crop Growth,Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
64,Continuous Cover,Crop Yields,Crop Growth,Soybean Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
65,Tillage,Crop Yields,Crop Growth,Soybean Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
504,Nutrient Amendment,Crop Yields,Crop Growth,Soybean Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
66,Continuous Cover,Crop Yields,Crop Growth,Soybean Chlorophyll Content,Positive,assumed societal benefit,NA,NA,NA,NA
505,Nutrient Amendment,Crop Yields,Crop Growth,Soybean Chlorophyll Content,Positive,assumed societal benefit,NA,NA,NA,NA
67,Continuous Cover,Crop Yields,Crop Growth,Soybean Height,Positive,assumed societal benefit,NA,NA,NA,NA
68,Tillage,Crop Yields,Crop Growth,Soybean Height,Positive,assumed societal benefit,NA,NA,NA,NA
506,Nutrient Amendment,Crop Yields,Crop Growth,Soybean Height,Positive,assumed societal benefit,NA,NA,NA,NA
69,Continuous Cover,Crop Yields,Crop Growth,Soybean Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
70,Tillage,Crop Yields,Crop Growth,Soybean Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
507,Nutrient Amendment,Crop Yields,Crop Growth,Soybean Root Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
71,Continuous Cover,Crop Yields,Crop Growth,Soybean Seedling Development,Positive,assumed societal benefit,NA,NA,NA,NA
508,Nutrient Amendment,Crop Yields,Crop Growth,Soybean Seedling Development,Positive,assumed societal benefit,NA,NA,NA,NA
72,Continuous Cover,Crop Yields,Crop Growth,Tree Diameter,Positive,assumed societal benefit,NA,NA,NA,NA
509,Nutrient Amendment,Crop Yields,Crop Growth,Tree Diameter,Positive,assumed societal benefit,NA,NA,NA,NA
73,Continuous Cover,Crop Yields,Crop Quality,Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
74,Tillage,Crop Yields,Crop Quality,Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
510,Nutrient Amendment,Crop Yields,Crop Quality,Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
469,Nutrient Amendment,Crop Yields,Crop Quality,Grain Selenium Content,Positive,assumed societal benefit,NA,NA,NA,NA
75,Continuous Cover,Crop Yields,Crop Water Content,Leaves,Positive,assumed societal benefit,NA,NA,NA,NA
511,Nutrient Amendment,Crop Yields,Crop Water Content,Leaves,Positive,assumed societal benefit,NA,NA,NA,NA
76,Continuous Cover,Crop Yields,Fodder Yields,Blue Pea,Positive,assumed societal benefit,NA,NA,NA,NA
512,Nutrient Amendment,Crop Yields,Fodder Yields,Blue Pea,Positive,assumed societal benefit,NA,NA,NA,NA
77,Continuous Cover,Crop Yields,Fodder Yields,Leucaena,Positive,assumed societal benefit,NA,NA,NA,NA
513,Nutrient Amendment,Crop Yields,Fodder Yields,Leucaena,Positive,assumed societal benefit,NA,NA,NA,NA
78,Continuous Cover,Crop Yields,Fodder Yields,Napier Grass,Positive,assumed societal benefit,NA,NA,NA,NA
514,Nutrient Amendment,Crop Yields,Fodder Yields,Napier Grass,Positive,assumed societal benefit,NA,NA,NA,NA
79,Continuous Cover,Crop Yields,Grain Production,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
515,Nutrient Amendment,Crop Yields,Grain Production,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
80,Continuous Cover,Crop Yields,Grain Production,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
516,Nutrient Amendment,Crop Yields,Grain Production,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
81,Continuous Cover,Crop Yields,Grain Quality,Corn Grain Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
82,Tillage,Crop Yields,Grain Quality,Corn Grain Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
517,Nutrient Amendment,Crop Yields,Grain Quality,Corn Grain Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
83,Continuous Cover,Crop Yields,Grain Quality,Corn Grain Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
84,Tillage,Crop Yields,Grain Quality,Corn Grain Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
518,Nutrient Amendment,Crop Yields,Grain Quality,Corn Grain Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
85,Continuous Cover,Crop Yields,Grain Quality,Corn Grain Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
86,Tillage,Crop Yields,Grain Quality,Corn Grain Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
519,Nutrient Amendment,Crop Yields,Grain Quality,Corn Grain Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
87,Continuous Cover,Crop Yields,Grain Quality,Corn Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
88,Tillage,Crop Yields,Grain Quality,Corn Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
520,Nutrient Amendment,Crop Yields,Grain Quality,Corn Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
89,Continuous Cover,Crop Yields,Grain Quality,Corn Nitrogen Uptake,Positive,assumed societal benefit,NA,NA,NA,NA
521,Nutrient Amendment,Crop Yields,Grain Quality,Corn Nitrogen Uptake,Positive,assumed societal benefit,NA,NA,NA,NA
90,Continuous Cover,Crop Yields,Grain Quality,"Corn Oil, Fiber, & Protein",Positive,assumed societal benefit,NA,NA,NA,NA
522,Nutrient Amendment,Crop Yields,Grain Quality,"Corn Oil, Fiber, & Protein",Positive,assumed societal benefit,NA,NA,NA,NA
91,Continuous Cover,Crop Yields,Grain Quality,Soybean Grain Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
92,Tillage,Crop Yields,Grain Quality,Soybean Grain Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
523,Nutrient Amendment,Crop Yields,Grain Quality,Soybean Grain Nitrogen Content,Positive,assumed societal benefit,NA,NA,NA,NA
93,Continuous Cover,Crop Yields,Grain Quality,Soybean Grain Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
94,Tillage,Crop Yields,Grain Quality,Soybean Grain Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
524,Nutrient Amendment,Crop Yields,Grain Quality,Soybean Grain Phosphorus Content,Positive,assumed societal benefit,NA,NA,NA,NA
95,Continuous Cover,Crop Yields,Grain Quality,Soybean Grain Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
96,Tillage,Crop Yields,Grain Quality,Soybean Grain Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
525,Nutrient Amendment,Crop Yields,Grain Quality,Soybean Grain Potassium Content,Positive,assumed societal benefit,NA,NA,NA,NA
97,Continuous Cover,Crop Yields,Grain Quality,Soybean Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
98,Tillage,Crop Yields,Grain Quality,Soybean Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
526,Nutrient Amendment,Crop Yields,Grain Quality,Soybean Grain Weight & Moisture Content,Positive,assumed societal benefit,NA,NA,NA,NA
99,Continuous Cover,Crop Yields,Grain Quality,Soybean Nitrogen Uptake,Positive,assumed societal benefit,NA,NA,NA,NA
527,Nutrient Amendment,Crop Yields,Grain Quality,Soybean Nitrogen Uptake,Positive,assumed societal benefit,NA,NA,NA,NA
100,Continuous Cover,Crop Yields,Grain Quality,"Soybean Oil, Fiber, & Protein",Positive,assumed societal benefit,NA,NA,NA,NA
101,Tillage,Crop Yields,Grain Quality,"Soybean Oil, Fiber, & Protein",Positive,assumed societal benefit,NA,NA,NA,NA
528,Nutrient Amendment,Crop Yields,Grain Quality,"Soybean Oil, Fiber, & Protein",Positive,assumed societal benefit,NA,NA,NA,NA
102,Continuous Cover,Crop Yields,Grain Yields,Beans,Positive,assumed societal benefit,NA,NA,NA,NA
529,Nutrient Amendment,Crop Yields,Grain Yields,Beans,Positive,assumed societal benefit,NA,NA,NA,NA
103,Continuous Cover,Crop Yields,Grain Yields,Cabbage,Positive,assumed societal benefit,NA,NA,NA,NA
530,Nutrient Amendment,Crop Yields,Grain Yields,Cabbage,Positive,assumed societal benefit,NA,NA,NA,NA
104,Continuous Cover,Crop Yields,Grain Yields,Carrot,Positive,assumed societal benefit,NA,NA,NA,NA
531,Nutrient Amendment,Crop Yields,Grain Yields,Carrot,Positive,assumed societal benefit,NA,NA,NA,NA
105,Continuous Cover,Crop Yields,Grain Yields,Coffee,Positive,assumed societal benefit,NA,NA,NA,NA
532,Nutrient Amendment,Crop Yields,Grain Yields,Coffee,Positive,assumed societal benefit,NA,NA,NA,NA
106,Continuous Cover,Crop Yields,Grain Yields,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
107,Tillage,Crop Yields,Grain Yields,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
533,Nutrient Amendment,Crop Yields,Grain Yields,Corn,Positive,assumed societal benefit,NA,NA,NA,NA
108,Continuous Cover,Crop Yields,Grain Yields,Corn And Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
109,Tillage,Crop Yields,Grain Yields,Corn And Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
534,Nutrient Amendment,Crop Yields,Grain Yields,Corn And Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
110,Continuous Cover,Crop Yields,Grain Yields,Cowpea,Positive,assumed societal benefit,NA,NA,NA,NA
535,Nutrient Amendment,Crop Yields,Grain Yields,Cowpea,Positive,assumed societal benefit,NA,NA,NA,NA
111,Continuous Cover,Crop Yields,Grain Yields,Cowpea (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
536,Nutrient Amendment,Crop Yields,Grain Yields,Cowpea (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
112,Continuous Cover,Crop Yields,Grain Yields,French Bean,Positive,assumed societal benefit,NA,NA,NA,NA
537,Nutrient Amendment,Crop Yields,Grain Yields,French Bean,Positive,assumed societal benefit,NA,NA,NA,NA
113,Continuous Cover,Crop Yields,Grain Yields,Kale,Positive,assumed societal benefit,NA,NA,NA,NA
538,Nutrient Amendment,Crop Yields,Grain Yields,Kale,Positive,assumed societal benefit,NA,NA,NA,NA
114,Continuous Cover,Crop Yields,Grain Yields,Maize,Positive,assumed societal benefit,NA,NA,NA,NA
539,Nutrient Amendment,Crop Yields,Grain Yields,Maize,Positive,assumed societal benefit,NA,NA,NA,NA
115,Continuous Cover,Crop Yields,Grain Yields,Maize (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
540,Nutrient Amendment,Crop Yields,Grain Yields,Maize (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
116,Continuous Cover,Crop Yields,Grain Yields,Millet,Positive,assumed societal benefit,NA,NA,NA,NA
541,Nutrient Amendment,Crop Yields,Grain Yields,Millet,Positive,assumed societal benefit,NA,NA,NA,NA
117,Continuous Cover,Crop Yields,Grain Yields,Mung Bean,Positive,assumed societal benefit,NA,NA,NA,NA
542,Nutrient Amendment,Crop Yields,Grain Yields,Mung Bean,Positive,assumed societal benefit,NA,NA,NA,NA
118,Continuous Cover,Crop Yields,Grain Yields,Peas,Positive,assumed societal benefit,NA,NA,NA,NA
543,Nutrient Amendment,Crop Yields,Grain Yields,Peas,Positive,assumed societal benefit,NA,NA,NA,NA
119,Continuous Cover,Crop Yields,Grain Yields,Potato,Positive,assumed societal benefit,NA,NA,NA,NA
544,Nutrient Amendment,Crop Yields,Grain Yields,Potato,Positive,assumed societal benefit,NA,NA,NA,NA
120,Continuous Cover,Crop Yields,Grain Yields,Sorghum,Positive,assumed societal benefit,NA,NA,NA,NA
545,Nutrient Amendment,Crop Yields,Grain Yields,Sorghum,Positive,assumed societal benefit,NA,NA,NA,NA
121,Continuous Cover,Crop Yields,Grain Yields,Sorghum (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
546,Nutrient Amendment,Crop Yields,Grain Yields,Sorghum (Ler),Positive,assumed societal benefit,NA,NA,NA,NA
122,Continuous Cover,Crop Yields,Grain Yields,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
123,Tillage,Crop Yields,Grain Yields,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
547,Nutrient Amendment,Crop Yields,Grain Yields,Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
124,Continuous Cover,Crop Yields,Grain Yields,Sweet Potato,Positive,assumed societal benefit,NA,NA,NA,NA
548,Nutrient Amendment,Crop Yields,Grain Yields,Sweet Potato,Positive,assumed societal benefit,NA,NA,NA,NA
125,Continuous Cover,Crop Yields,Grain Yields,Tomato,Positive,assumed societal benefit,NA,NA,NA,NA
549,Nutrient Amendment,Crop Yields,Grain Yields,Tomato,Positive,assumed societal benefit,NA,NA,NA,NA
126,Continuous Cover,Crop Yields,Heritability,Cowpea,Positive,assumed societal benefit,NA,NA,NA,NA
550,Nutrient Amendment,Crop Yields,Heritability,Cowpea,Positive,assumed societal benefit,NA,NA,NA,NA
127,Continuous Cover,Crop Yields,Improved Fallow,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
551,Nutrient Amendment,Crop Yields,Improved Fallow,Aboveground Biomass,Positive,assumed societal benefit,NA,NA,NA,NA
128,Continuous Cover,Crop Yields,Pesticide Uptake,Soybean,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
552,Nutrient Amendment,Crop Yields,Pesticide Uptake,Soybean,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
441,Nutrient Amendment,Crop Yields,Plant Nutrient Content,C To N Ratio,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
440,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Carbon Content,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
129,Continuous Cover,Crop Yields,Plant Nutrient Content,Corn Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
130,Tillage,Crop Yields,Plant Nutrient Content,Corn Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
553,Nutrient Amendment,Crop Yields,Plant Nutrient Content,Corn Nitrogen Use Efficiency,Positive,assumed societal benefit,NA,NA,NA,NA
