"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_timeseries","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","tillage_1","tillage_2","trt_compare","crop_type","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1","Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.93,1,"NA","NA",5.89,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",49.87,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"12","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.7,1,"NA","NA",1.4,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-17.65,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"13","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.88,1,"NA","NA",4.34,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",130.85,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"14","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.89,1,"NA","NA",4.86,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",24.94,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"15","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.39,1,"NA","NA",0.88,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",125.64,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"16","Tillage",6000,"2017-2","2",1,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.47,1,"NA","NA",1.76,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",19.73,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"17","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",NA,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"18","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",NA,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"19","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",NA,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"20","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0,1,"NA","NA",0,NA,"HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",NA,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"21","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.92,1,"NA","NA",3.48,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",81.25,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"22","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.39,1,"NA","NA",3.62,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",6.78,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"23","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.27,1,"NA","NA",0.76,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",181.48,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"24","Tillage",6000,"2017-2","1",2,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.47,1,"NA","NA",0.89,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-39.46,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"25","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.25,1,"NA","NA",2.81,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",124.8,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"26","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.86,1,"NA","NA",2.41,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-15.73,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"27","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.49,1,"NA","NA",0.85,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",73.47,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"28","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, long season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.29,1,"NA","NA",0.89,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-31.01,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"29","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.49,1,"NA","NA",1.56,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",218.37,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"30","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.38,1,"NA","NA",1.38,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",0,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"31","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, short season, no manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",0.27,1,"NA","NA",0.58,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",114.81,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"32","Tillage",6000,"2017-2","2",2,"Crop Yields","Yields","Maize","maize grain yield, short season, manure, low fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.16,1,"NA","NA",0.71,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-38.79,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"33","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",5.57,1,"NA","NA",7.71,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",38.42,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"34","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",8.42,1,"NA","NA",8.7,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",3.33,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"35","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.86,1,"NA","NA",3.2,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",72.04,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"36","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",4.35,1,"NA","NA",3.2,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-26.44,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"37","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.81,1,"NA","NA",3.83,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",36.3,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"38","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.4,1,"NA","NA",2.25,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-33.82,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"39","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.5,1,"NA","NA",1.9,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",26.67,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"40","Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.5,1,"NA","NA",0.2,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-86.67,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"41","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.77,1,"NA","NA",4.19,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",51.26,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"42","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",4.19,1,"NA","NA",4.66,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",11.22,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"43","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.38,1,"NA","NA",2.02,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",46.38,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"44","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.57,1,"NA","NA",2.21,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-14.01,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"45","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",5.73,1,"NA","NA",8.22,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",43.46,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"46","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",9.09,1,"NA","NA",10.2,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",12.21,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"47","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.38,1,"NA","NA",3.08,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",123.19,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"48","Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",5.14,1,"NA","NA",3.08,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-40.08,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"49","Tillage",6000,"2017-2","1",2,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.02,1,"NA","NA",1.76,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",72.55,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"50","Tillage",6000,"2017-2","1",2,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.16,1,"NA","NA",2.05,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-5.09,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"51","Tillage",6000,"2017-2","1",2,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.03,1,"NA","NA",2.22,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",115.53,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"52","Tillage",6000,"2017-2","1",2,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, long season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.14,1,"NA","NA",2.02,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",-5.61,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"53","Tillage",6000,"2017-2","1",2,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.24,1,"NA","NA",5.45,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",68.21,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
"54","Tillage",6000,"2017-2","1",2,"Crop Yields","Crop Growth","Maize Aboveground Biomass","maize grain biomass, short season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",5.18,1,"NA","NA",5.65,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Hand Hoe - No Tillage","Cereals","Positive","assumed societal benefit",NA,"NA","NA","NA",9.07,"Crop Yields | Crop Growth | Maize Aboveground Biomass","Positive | assumed societal benefit"
