"","...1","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_timeseries","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","tillage_1","tillage_2","trt_compare","crop_type","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1",1,"Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.93,1,"NA","NA",5.89,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",49.87,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"21",21,"Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.81,1,"NA","NA",3.83,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",36.3,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"22",22,"Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.4,1,"NA","NA",2.25,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-33.82,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"23",23,"Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.5,1,"NA","NA",1.9,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",26.67,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"24",24,"Tillage",6000,"2017-2","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.5,1,"NA","NA",0.2,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-86.67,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"25",25,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, long season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.77,1,"NA","NA",4.19,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",51.26,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"26",26,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, long season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",4.19,1,"NA","NA",4.66,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",11.22,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"27",27,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, long season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.38,1,"NA","NA",2.02,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",46.38,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"28",28,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, long season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",2.57,1,"NA","NA",2.21,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-14.01,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"29",29,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, no manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",5.73,1,"NA","NA",8.22,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",43.46,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"30",30,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, manure, high fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",9.09,1,"NA","NA",10.2,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",12.21,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"31",31,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, no manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",1.38,1,"NA","NA",3.08,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",123.19,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"32",32,"Tillage",6000,"2017-2","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize grain biomass, short season, manure, low fertility","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",5.14,1,"NA","NA",3.08,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-40.08,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"33",33,"Tillage",6000,"2017-2","1",1,"Crop Yields","Plant Nutrient Content","Crop Nitrogen Use Efficiency","maize grain nitrogen use effeciency, manure","No","NA","NA","%","Tukey","mean",0,"NA","NA",20.2,1,"NA","NA",18.6,"0.03","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-1.6,"Crop Yields | Plant Nutrient Content | Crop Nitrogen Use Efficiency","Positive | assumed societal benefit"
"34",34,"Tillage",6000,"2017-2","1",1,"Crop Yields","Plant Nutrient Content","Crop Nitrogen Use Efficiency","maize aboveground biomass nitrogen use effeciency, manure","No","NA","NA","%","Tukey","mean",0,"NA","NA",18.3,1,"NA","NA",17.3,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-1,"Crop Yields | Plant Nutrient Content | Crop Nitrogen Use Efficiency","Positive | assumed societal benefit"
"35",35,"Tillage",6000,"2017-2","1",1,"Crop Yields","Plant Nutrient Content","Crop Nitrogen Use Efficiency","soil nitrogen recovery, manure","No","0-30 cm","0-30 cm","%","Tukey","mean",0,"NA","NA",11.9,1,"NA","NA",13.8,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",1.9,"Crop Yields | Plant Nutrient Content | Crop Nitrogen Use Efficiency","Positive | assumed societal benefit"
"36",36,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 25 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",168.83,1,"NA","NA",174.25,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",3.21,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"37",37,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 25 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",172.14,1,"NA","NA",176.05,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",2.27,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"38",38,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 39 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",143.87,1,"NA","NA",147.18,"0.01","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",2.3,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"39",39,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 39 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",145.08,1,"NA","NA",147.48,"0.01","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",1.65,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"40",40,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 53 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",133.05,1,"NA","NA",152.29,"1E-3","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",14.46,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"41",41,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 53 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",145.38,1,"NA","NA",148.08,"1E-3","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",1.86,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"42",42,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 67 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",115.6,1,"NA","NA",139.36,"1E-4","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",20.55,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"43",43,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 67 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",126.43,1,"NA","NA",133.95,"1E-4","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",5.95,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"44",44,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 88 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",105.38,1,"NA","NA",124.32,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",17.97,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"45",45,"Tillage",6000,"2017-2","1",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 88 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",106.88,1,"NA","NA",106.88,"ns","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",0,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"46",46,"Tillage",6000,"2017-2","2",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 30 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",114.24,1,"NA","NA",125.45,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",9.81,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"47",47,"Tillage",6000,"2017-2","2",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 30 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",120.3,1,"NA","NA",140.3,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",16.63,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"48",48,"Tillage",6000,"2017-2","2",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 44 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",115.76,1,"NA","NA",128.79,"1E-3","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",11.26,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"49",49,"Tillage",6000,"2017-2","2",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 44 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",123.94,1,"NA","NA",137.27,"1E-3","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",10.76,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"50",50,"Tillage",6000,"2017-2","2",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, no manure, 57 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",108.18,1,"NA","NA",122.42,"1E-4","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",13.16,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
"51",51,"Tillage",6000,"2017-2","2",1,"Other Soil Properties","Abiotic Factors","Soil Moisture","soil moisture content, short season, manure, 57 days after sowing","No","0-40 cm","0-30 cm","mm","Tukey","mean",0,"NA","NA",119.39,1,"NA","NA",132.42,"1E-4","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Dependent on other factors","dependent on other factors",NA,"NA","NA","NA",10.91,"Other Soil Properties | Abiotic Factors | Soil Moisture","Dependent on other factors | dependent on other factors"
