group_level1,group_level2,group_level3,Completed
Pests,Invertebrate Pests,Termites,GL2: Invertebrate Pests -> Invertebrates
Pests,Invertebrate Pests,Thrips,GL2: Invertebrate Pests -> Invertebrates
Pests,Nematodes,Bacterivores (#),GL3: Bacterivores (#) -> Bactivorous nematodes
Pests,Nematodes,Fungivores (#),"GL3: Fungivores (#) -> Fungivorous nematodes, GL2: Nematodes -> Non-Pests"
Pests,Nematodes,Herbivores (#),GL3: Herbivores (#) -> Plant-parasitic
Pests,Nematodes,Nematode community (#),"GL2: Nematodes -> Non-Pests, GL3: Nematode community (#) -> Nematode community"
Pests,Nematodes,Nematode community activity,GL2: Nematodes -> Non-Pests
Pests,Nematodes,Nematode community diversity,GL2: Nematodes -> Non-Pests
Pests,Nematodes,Nematode community maturity index,GL2: Nematodes -> Non-Pests
Pests,Nematodes,Omnivores (#),"GL2: Nematodes -> Non-Pests, GL3: Omnivores (#) -> Omnivorous nematodes"
Pests,Nematodes,Plant-parasitic,
Pests,Nematodes,Predators (#),"GL2: Nematodes -> Pest Natural Enemies, GL3: Predators (#) -> Predacious nematodes"
Pests,Non-Predators & Pests,Earthworms,GL2: Non-Predator & Pests -> Non-Pests
Pests,Non-Predators & Pests,Invertebrates,GL2: Non-Predator & Pests -> Non-Pests
Pests,Pest Natural Enemies,Natural enemy (#),GL3: Natural enemy (#) -> Predacious invertebrates
Pests,Weeds,Broadleaves,
Pests,Weeds,Grasses,
Pests,Weeds,Striga (#),GL3: Striga (#) -> Striga
Pests,Weeds,Weed biomass,
Pests,Weeds,Weed community diversity,
Soil Nutrients,Micronutrients,Calcium,GL2: Micronutrients -> Micro-Nutrients
Soil Nutrients,Micronutrients,Magnesium,GL2: Micronutrients -> Micro-Nutrients
Soil Nutrients,Micronutrients,Misc. micro-nutrients,GL2: Micronutrients -> Micro-Nutrients
Soil Nutrients,Micro-nutrients,Calcium,GL2: Micro-nutrients -> Micro-Nutrients
Soil Nutrients,Micro-nutrients,Magnesium,GL2: Micro-nutrients -> Micro-Nutrients
Soil Nutrients,Micro-nutrients,Misc. micro-nutrients,GL2: Micro-nutrients -> Micro-Nutrients
Soil Nutrients,Nitrogen,Ammonium,
Soil Nutrients,Nitrogen,C to N ratio,
Soil Nutrients,Nitrogen,Nitrate,
Soil Nutrients,Nitrogen,Nitrogen losses,
Soil Nutrients,Nitrogen,Total nitrogen,
Soil Nutrients,Nitrogen,total nitrogen,GL3: total nitrogen -> Total nitrogen
Soil Nutrients,Phosphorus & Potassium,Phosphorus,
Soil Nutrients,Phosphorus & Potassium,Phosphorus losses,
Soil Nutrients,Phosphorus & Potassium,Potassium,
Soil Nutrients,Phosphorus & Potassium,Potassium losses,
Water Quality,Flow Quantity,Drainage,
Water Quality,Flow Quantity,Water,GL3: Water -> Water discharge
Water Quality,Flow Quantity,Water discharge,
Water Quality,Nutrient Runoff,Nitrogen,
Water Quality,Nutrient Runoff,Phosphorus,
Water Quality,Nutrient Runoff,Potassium,
Water Quality,Sediment Runoff,Sediment runoff,
