"","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","pm_group1","pm_group2","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"11","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,5,"NA","NA",42.2,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (16.83 or 21.91 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-2.54,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"12","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,5,"NA","NA",30.38,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (16.83 or 21.91 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,6.04,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"13","Early Season Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,7,"NA","NA",44.16,"ns","untreated_seedfoliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (2 applications, 16.83 or 21.91 g ai/ha + 28.05 g ai/ha)","Pyrethroid (Insecticide)","Seed & Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-9.02,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"14","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,7,"NA","NA",40.8,"ns","untreated_seedfoliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (2 applications, 16.83 or 21.91 g ai/ha + 28.05 g ai/ha)","Pyrethroid (Insecticide)","Seed & Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-5.77,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"15","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,7,"NA","NA",27.36,"ns","untreated_seedfoliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (2 applications, 16.83 or 21.91 g ai/ha + 28.05 g ai/ha)","Pyrethroid (Insecticide)","Seed & Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-4.5,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"16","Early Season Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,6,"NA","NA",44.72,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (28.05 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-7.87,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"17","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,6,"NA","NA",39.8,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (28.05 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-8.08,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"18","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,6,"NA","NA",30.04,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean foliage sprayed with ?-cyhalothrin (28.05 g ai/ha)","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,4.85,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"19","Early Season Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,2,"NA","NA",33.82,"0.05","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean seed treated with thiamethoxam (0.3 or 0.5 g ai/kg)","Neonicotinoid (Insecticide)","Seed","Negative","assumed societal harm",NA,NA,NA,NA,-30.33,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"20","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,2,"NA","NA",40.5,"ns","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean seed treated with thiamethoxam (0.3 or 0.5 g ai/kg)","Neonicotinoid (Insecticide)","Seed","Negative","assumed societal harm",NA,NA,NA,NA,-6.47,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"21","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,2,"NA","NA",26.53,"ns","untreated_seedI","untreated","untreated soybean","thiamethoxam","soybean seed treated with thiamethoxam (0.3 or 0.5 g ai/kg)","Neonicotinoid (Insecticide)","Seed","Negative","assumed societal harm",NA,NA,NA,NA,-7.4,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"22","Early Season Pest Management",95,"2002-3","1","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",48.54,4,"NA","NA",41.97,"ns","untreated_foliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (.03 or 0.5 g ai/kg seed + 28.05 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-13.54,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"23","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,4,"NA","NA",47.5,"ns","untreated_foliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (.03 or 0.5 g ai/kg seed + 28.05 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,9.7,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"24","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,4,"NA","NA",30.04,"ns","untreated_foliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (.03 or 0.5 g ai/kg seed + 28.05 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,4.85,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"25","Early Season Pest Management",95,"2002-3","2","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",43.3,3,"NA","NA",44,"ns","untreated_seedfoliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (0.5 or g ai/kg seed + 21.91 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Seed & Foliar","Negative","assumed societal harm",NA,NA,NA,NA,1.62,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"26","Early Season Pest Management",95,"2002-3","3","1;2;3","Pests","Pathogens","Bean Pod Mottle Virus","average total Bean pod mottle virus (Comoviridae)","NA","NA","#","Dunnett","mean",0,"NA","NA",28.65,3,"NA","NA",27.36,"ns","untreated_seedfoliarI","untreated","untreated soybean","thiamethoxam; lambda-cyhalothrin","soybean seed treated with thiamethoxam and foliage sprayed with ?-cyhalothrin (0.5 or g ai/kg seed + 21.91 g ai/ha)","Neonicotinoid & Pyrethroid (Insecticide)","Seed & Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-4.5,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"27","Early Season Pest Management",93,"2002-2","1;2","3","Pests","Pathogens","Bean Pod Mottle Virus","proportion of Bean pod mottle virus-infected soybean in early August","NA","NA","proportion of virus present in 20 samples per treatment","ANOVA","mean",0,"NA","NA",0.49,3,"NA","NA",0.4,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean treated with lambda-cyhalothrin (foliar application) at emergence of first bean leaf beetle generation","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-18.37,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"28","Early Season Pest Management",93,"2002-2","1;2","3","Pests","Pathogens","Bean Pod Mottle Virus","proportion of Bean pod mottle virus-infected soybean in early August","NA","NA","proportion of virus present in 20 samples per treatment","ANOVA","mean",0,"NA","NA",0.49,2,"NA","NA",0.39,"ns","untreated_foliarI","untreated","untreated soybean","lambda-cyhalothrin","soybean treated with lambda-cyhalothrin (foliar application) at soybean emergence","Pyrethroid (Insecticide)","Foliar","Negative","assumed societal harm",NA,NA,NA,NA,-20.41,"Pests | Pathogens | Bean Pod Mottle Virus","Negative | assumed societal harm"
"29","Early Season Pest Management",75,"2002-2","1;2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","LSMeans","mean",0,"NA","NA",367319,1,"NA","NA",346792,"ns","untreated_seedF","untreated","untreated maize seed","captan","fungicide seed treatment, captan (0.06 g ai / kg seed)","Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-5.59,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"30","Early Season Pest Management",75,"2002-2","1;2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","LSMeans","mean",0,"NA","NA",367319,4,"NA","NA",346477,"ns","untreated_seedF","untreated","untreated maize seed","captan; pentachloronitrobenzene; thiabendazole","captan (0.06 g ai / kg seed)/pentachloronitrobenzene (0.26 g / ai / kg seed)/thiabendazole (0.03 g ai / kg seed)","Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-5.67,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"31","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11987.1,2,"NA","NA",13044.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,8.82,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"32","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",503.7,2,"NA","NA",259.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-48.48,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"33","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12075.1,2,"NA","NA",13529.4,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,12.04,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"34","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",333.7,2,"NA","NA",340.4,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,2.01,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"35","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12780.2,2,"NA","NA",11281.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-11.72,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"36","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",50.9,2,"NA","NA",804.6,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,1480.75,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"37","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12533.4,2,"NA","NA",13344.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,6.47,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"38","Early Season Pest Management",70,"2012-3","2","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",202.3,2,"NA","NA",243.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,20.22,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"39","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11458.1,2,"NA","NA",12317.5,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,7.5,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"40","Early Season Pest Management",70,"2012-3","2","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",187,2,"NA","NA",782,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,318.18,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"41","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",10841.1,2,"NA","NA",11193.7,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,3.25,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"42","Early Season Pest Management",70,"2012-3","2","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",139.4,2,"NA","NA",107.9,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-22.6,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"43","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11281.8,2,"NA","NA",11590.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,2.73,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"44","Early Season Pest Management",70,"2012-3","3","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",160.9,2,"NA","NA",84.4,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-47.55,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"45","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11546.3,2,"NA","NA",11546.3,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,0,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"46","Early Season Pest Management",70,"2012-3","3","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",152.6,2,"NA","NA",233.2,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","1.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,52.82,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"47","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",11987.1,1,"NA","NA",11458.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-4.41,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"48","Early Season Pest Management",70,"2012-3","1","1","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",503.7,1,"NA","NA",380.8,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-24.4,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"49","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12075.1,1,"NA","NA",11281.8,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-6.57,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"50","Early Season Pest Management",70,"2012-3","1","2","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",333.7,1,"NA","NA",589.1,"0.05","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,76.54,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"51","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","mean",0,"NA","NA",12780.2,1,"NA","NA",11458.1,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,-10.34,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
"52","Early Season Pest Management",70,"2012-3","1","3","Crop Yields","Stand Count","Corn","maize stand count","NA","NA","# plants/ha","F-test","sem",0,"NA","NA",50.9,1,"NA","NA",374,"ns","untreated_seedIF","untreated","untreated maize seed","clothianidin; fungicide","0.25 mg clothianidin + fungicides","Neonicotinoid & Fungicide","Seed","Positive","assumed societal benefit",NA,NA,NA,NA,634.77,"Crop Yields | Stand Count | Corn","Positive | assumed societal benefit"
