review,paper_id,duration,rv_year,loc_multi_results,group_level1,group_level2,group_level3,rv,rv_depth,sample_depth,rv_units,stat_test,stat_type,trt1,trt1_int,trt1_int2,trt1_value,trt2,trt2_int,trt2_int2,trt2_value,significance,trt1_name,trt1_details,trt2_name,trt2_details,trt2_group1,trt2_group2,crop_type,system_group1,system_group2,mgmt_intention
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Heterocephalobus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,65,1,NA,NA,101.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Plectus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,28.6,1,NA,NA,28,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Prismatolaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,5.2,1,NA,NA,15,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Protorhabditis) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Rhabditis) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,57.2,1,NA,NA,49.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Tyocephalus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community,"bacterivores (Wilsonema) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,44.2,1,NA,NA,26,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Criconemella) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,10.4,1,NA,NA,13.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Ditylenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,3.3,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Helicotylenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Longidorus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Meloidogyne) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,59.8,1,NA,NA,69.6,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Paratrichodorus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,5.2,1,NA,NA,2,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Pratylenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,39,1,NA,NA,51.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Psilenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,2.6,1,NA,NA,7.2,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Rotylenchulus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,156,1,NA,NA,130.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Rotylenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,26,1,NA,NA,7.8,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Scutellonema) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,49.4,1,NA,NA,23.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Trichodorus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,9.1,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Tylenchorhynchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,7.8,1,NA,NA,0.7,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Tylenchulus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,10.4,1,NA,NA,8.5,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Tylenchus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,78,1,NA,NA,72.8,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Herbivores,"herbivores (Xiphinema) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode predators (Discolaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,2.6,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode predators (Monochus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode predators (Nygolaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,83.2,1,NA,NA,106,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode predators (Seinura) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,1.3,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode ominvores (Aporcelaimellus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,2.6,1,NA,NA,1.3,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode ominvores (Dorylaimellus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,26,1,NA,NA,13,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode ominvores (Eudorylaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,2.6,1,NA,NA,3.9,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode ominvores (Labronema) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,25.4,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode ominvores (Mesodorylaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,2.6,1,NA,NA,2,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Pest Natural Enemies,Natural enemy,"nematode ominvores (Prodorylaimus) at planting, intermediate, and final growth stages",0-25 cm,0-30 cm,#/250 g soil,ANOVA,mean,0,NA,NA,0,1,NA,NA,0,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,species richness during long rains,0-25 cm,0-30 cm,richness,ANOVA,mean,0,NA,NA,1.61,1,NA,NA,1.61,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,Shannon diversity index during long rains,0-25 cm,0-30 cm,H,ANOVA,mean,0,NA,NA,1.32,1,NA,NA,1.34,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,log of the reciprocal Simpson index during long rains,0-25 cm,0-30 cm,log (1/lambda),ANOVA,mean,0,NA,NA,1.26,1,NA,NA,1.2,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,Berger-Parker index during long rains,0-25 cm,0-30 cm,1/inf. D,ANOVA,mean,0,NA,NA,1.02,1,NA,NA,0.99,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,species richness during short rains,0-25 cm,0-30 cm,richness,ANOVA,mean,0,NA,NA,1.61,1,NA,NA,1.61,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,Shannon diversity index during short rains,0-25 cm,0-30 cm,H,ANOVA,mean,0,NA,NA,1.23,1,NA,NA,1.3,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,log of the reciprocal Simpson index during short rains,0-25 cm,0-30 cm,log (1/lambda),ANOVA,mean,0,NA,NA,1.1,1,NA,NA,1.16,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community diversity,Berger-Parker index during short rains,0-25 cm,0-30 cm,1/inf. D,ANOVA,mean,0,NA,NA,0.85,1,NA,NA,0.82,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,maturity index during long rain seasons,0-25 cm,0-30 cm,maturity index,ANOVA,mean,0,NA,NA,2.32,1,NA,NA,2.43,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,maturity index in cp 2-5 during long rain seasons,0-25 cm,0-30 cm,maturity index in cp 2-5,ANOVA,mean,0,NA,NA,2.34,1,NA,NA,2.45,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,plant parasitic index during long rain seasons,0-25 cm,0-30 cm,plant parasitic index,ANOVA,mean,0,NA,NA,3.1,1,NA,NA,2.94,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,channel index during long rain seasons,0-25 cm,0-30 cm,channel index,ANOVA,mean,0,NA,NA,84.19,1,NA,NA,79.38,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,basal index during long rain seasons,0-25 cm,0-30 cm,basal index,ANOVA,mean,0,NA,NA,42.57,1,NA,NA,43.46,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,enrichment index during long rain seasons,0-25 cm,0-30 cm,enrichment index,ANOVA,mean,0,NA,NA,35.91,1,NA,NA,28.03,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,structure index during long rain seasons,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,41.55,1,NA,NA,45.56,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,maturity index during short rain seasons,0-25 cm,0-30 cm,maturity index,ANOVA,mean,0,NA,NA,2.28,1,NA,NA,2.43,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,maturity index in cp 2-5 during short rain seasons,0-25 cm,0-30 cm,maturity index in cp 2-5,ANOVA,mean,0,NA,NA,2.36,1,NA,NA,2.51,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,plant parasitic index during short rain seasons,0-25 cm,0-30 cm,plant parasitic index,ANOVA,mean,0,NA,NA,2.95,1,NA,NA,2.9,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,channel index during short rain seasons,0-25 cm,0-30 cm,channel index,ANOVA,mean,0,NA,NA,50.7,1,NA,NA,56.59,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,basal index during short rain seasons,0-25 cm,0-30 cm,basal index,ANOVA,mean,0,NA,NA,40.94,1,NA,NA,36.52,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,enrichment index during short rain seasons,0-25 cm,0-30 cm,enrichment index,ANOVA,mean,0,NA,NA,37.19,1,NA,NA,35.35,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community maturity index,structure index during short rain seasons,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,45.62,1,NA,NA,53.09,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,composite metabolic footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,6.56,1,NA,NA,6.11,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,herbivore footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,6.25,1,NA,NA,5.44,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,bacterivore footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,3.79,1,NA,NA,3.91,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,fungivore footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,3.14,1,NA,NA,2.58,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,predator footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,1.5,1,NA,NA,3.2,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,omnivore footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,4.07,1,NA,NA,3.07,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,struture footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,4.25,1,NA,NA,4.11,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,enrichment footprint during long rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,3.67,1,NA,NA,3.25,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,composite metabolic footprint during short rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,6.56,1,NA,NA,6.71,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
Continuous cover,4000,2018-1,1,1,Pests,Nematodes,Nematode community activity,herbivore footprint during short rains season,0-25 cm,0-30 cm,structure index,ANOVA,mean,0,NA,NA,6.02,1,NA,NA,6.13,NA,monocrop,sweet potato,intercrop,sweet potato;maize,2,Non-Legume,Vegetable,Uniform,Rainfed,Pest Management
